"year","co2","pop","gdp","gdpg","gdi","inc","urban","energy","eng_imp","elec"
"1960",2890696.1,180671000,5.433e+11,NA,NA,NA,38.7326062290019,5641.74075529554,5.34081618748347,4049.786628734
"1961",2880505.507,183691000,5.633e+11,2.29999999999968,NA,NA,38.8465695107545,5612.07950307854,5.57885796797174,4182.17550124938
"1962",2987207.873,186538000,6.051e+11,6.10000000000012,NA,NA,39.0132637853949,5774.58631485274,5.82595283059258,4433.60602129325
"1963",3119230.874,189242000,6.386e+11,4.39999999999992,NA,NA,39.2241843776752,5986.78395387916,6.23887607972911,4690.48625569377
"1964",3255995.306,191889000,6.858e+11,5.8000000000003,NA,NA,39.461980624215,6136.93822991417,6.5036408374399,4970.44645602406
"1965",3390922.571,194303000,7.437e+11,6.39999999999976,NA,NA,39.759195174547,6307.89020241581,7.22057621410312,5234.68500229024
"1966",3561878.111,196560000,8.15e+11,6.50000000000028,NA,NA,40.1030565730566,6591.34055759056,7.15792247864086,5590.33374033374
"1967",3695708.943,198712000,8.617e+11,2.50000000000003,NA,NA,40.4818556503885,6809.82048391642,4.25279867385188,5888.34091549579
"1968",3831354.94,200706000,9.425e+11,4.79999999999959,NA,NA,40.90775064024,7073.47894930894,5.54405063902184,6385.45932857015
"1969",4024748.853,202677000,1.0199e+12,3.09999999999999,NA,NA,41.3501161947335,7332.36854699843,7.70933842610018,6904.83379959245
"1970",4328904.501,205052000,1.073303e+12,-0.346648733838819,5262705438734.67,6.68e+09,41.5943355831691,7569.07659520512,6.52160993280303,7236.65704309151
"1971",4356770.034,207661000,1.16485e+12,3.29335165324265,5428342614270.67,7.9e+09,41.4104709117263,7644.52480244244,9.51537451898334,7517.30464555213
"1972",4564952.958,209896000,1.27911e+12,5.2589073310028,5708582432653.57,8.92e+09,41.3158935853947,7940.99783225979,12.1318125624245,8076.40926935244
"1973",4770194.948,211909000,1.425376e+12,5.64572257104872,6028431638382.97,1.283e+10,41.2765805133336,8163.60379219382,15.8218004340444,8573.19415409445
"1974",4598487.673,213854000,1.545243e+12,-0.54055166261962,5953511047063.59,1.552e+10,41.2629176915092,7909.58647956082,15.5511744664603,8449.92845586241
"1975",4406329.539,215973000,1.684904e+12,-0.205456064255458,5946386643812.86,1.279e+10,41.2278807999148,7656.2635792437,14.8712458060153,8522.39400295407
"1976",4613100.668,218035000,1.873412e+12,5.38813929310284,6267248419536.98,1.597e+10,41.2167372210884,8100.56222166166,19.694418966796,8968.7756552847
"1977",4742292.745,220239000,2.081826e+12,4.62415306432004,6541999232860.96,1.773e+10,41.1904049691472,8285.57089797901,20.8085095303747,9337.72401799863
"1978",4890861.25,222585000,2.351599e+12,5.53530495989784,6902272879623.94,2.031e+10,41.1513772266774,8438.40307747602,21.9235616320309,9560.5454096188
"1979",4901796.244,225055000,2.627333e+12,3.16614531077464,7106327336018.81,3.094e+10,41.1033511808225,8327.04170536091,18.5741089628757,9700.69538557242
"1980",4723209.677,227225000,2.857307e+12,-0.256749676940515,7043290550354.08,2.958e+10,41.1337335240401,7942.25301793377,13.9313696085034,9862.36549675432
"1981",4535800.308,229466000,3.207041e+12,2.53771929783902,7229266444088.4,3.239e+10,41.1891169062083,7647.53805356785,11.801346091942,9976.69371497302
"1982",4306748.487,231664000,3.343789e+12,-1.80288740691098,7113778074970.58,2.918e+10,41.2620329442641,7259.07889874991,9.04865570986495,9544.46094343532
"1983",4341878.347,233792000,3.634038e+12,4.58391336401664,7455334232713.13,3.0813e+10,41.3564809745415,7199.11853271284,12.7705810086971,9742.00571448125
"1984",4475192.132,235825000,4.037613e+12,7.23663315778187,8001832099003.32,2.9999e+10,41.4773179264285,7443.32001696173,9.51353880131994,10282.3746422135
"1985",4492555.377,237924000,4.338979e+12,4.16965621486705,8336674565663.13,1.9787e+10,41.5941796540072,7456.26290328004,11.5371937535261,10414.2078983205
"1986",4495463.308,240133000,4.579631e+12,3.46264597689752,8618565570328.37,1.5481e+10,41.7016982255667,7376.09623833459,12.0486465321885,10424.4272965398
"1987",4688373.177,242289000,4.855215e+12,3.45925198493917,8900062804278.75,1.4293e+10,41.8277796350639,7622.17301652159,13.8549791345335,10886.8582560496
"1988",4892526.068,244499000,5.236438e+12,4.17706128382223,9272297760392.61,1.8675e+10,41.9546738432468,7849.75397036389,15.668952653384,11298.3325085174
"1989",4955081.421,246819000,5.64158e+12,3.67264815928338,9608953828436.35,1.98e+10,42.0709848107318,7890.28720236287,16.9955043022868,11531.9323066701
"1990",4844990,249623000,5.963144e+12,1.88596495768836,9774751197346.11,2.856e+10,42.1499621429115,7671.7730657832,13.7096309133924,11713.3317042099
"1991",4808090,252981000,6.158129e+12,-0.108264786843066,9775334219774.4,2.413e+10,42.2491811638028,7631.46780588265,14.9427076463954,12134.1721315039
"1992",4880200,256514000,6.520327e+12,3.52244052251753,10114877577547.6,2.4236e+10,42.3327553271946,7677.40140109312,16.3385296201642,12014.9582478929
"1993",5000350,259919000,6.858559e+12,2.75178104210936,10400146140253.6,2.5339e+10,42.4483138977912,7709.49658932206,20.287092675434,12261.5237824091
"1994",5073230,263126000,7.287236e+12,4.02879326333235,10820096629317.7,1.7134e+10,42.6093191094761,7757.83082249569,18.7960037621226,12455.1621656545
"1995",5126900,266278000,7.639749e+12,2.68421727485742,11104698286504.5,20899300000,42.7911017808456,7763.75510556636,19.7408464242136,12659.607628118
"1996",5283110,269394000,8.073122e+12,3.7725655016348,11526707828745,22324800000,42.9915046363319,7844.46826581141,20.5835348178363,12854.2989079193
"1997",5547990,272657000,8577554457000,4.38177517389286,12049718962869,12624800000,43.1786332278284,7828.58109639584,21.5098249494927,12889.8322801175
"1998",5590700,275854000,9062818202000,4.48140756104172,12626497128344.3,4280100000,43.3895201809653,7803.69760452993,21.5698941494774,13154.7630268185
"1999",5610300,279040000,9630664202000,4.75323598286796,13210001854063,9.969e+09,43.6145337586009,7923.22389263188,24.4574111759769,13281.8699827982
"2000",5776410,282162411,10252345464000,4.12748401690885,13724662137225.3,1.4626e+10,43.7913755280465,8056.86384994775,26.6594195867123,13671.0520240061
"2001",5749250,284968955,10581821399000,0.998340791805987,13885283655499.4,2.3246e+10,43.8094802291709,7827.88632537183,24.3005371666905,13046.6141478464
"2002",5594160,287625193,10936419054000,1.74169525130476,14130830929421.6,1.7505e+10,43.8598992960954,7843.34484914192,26.60412855113,13296.1822993023
"2003",5659630,290107933,11458243878000,2.8612107683238,14517548151442.1,2.9254e+10,43.9449775404797,7794.23553026383,27.726180617665,13307.4920085002
"2004",5740030,292805298,12213729147000,3.79889112471299,15054390852526.3,4.658e+10,44.0064759347353,7881.57864206405,28.6955706933386,13388.5897105591
"2005",5756080,295516599,13036640230000,3.5132137994521,15549813760934.7,4.4184e+10,44.0731446019382,7846.49968849973,29.6591792835944,13704.5770481407
"2006",5656580,298379912,13814611414000,2.85497229363445,15980183815445.6,1.5979e+10,44.1265774620913,7697.65253500041,27.9721234263917,13583.2669593387
"2007",5740270,301231207,14451858656000,1.87617145415626,16279930851669.2,6.4356e+10,44.1907617493296,7758.16598577052,28.585606884949,13657.4528282523
"2008",5563340,304093966,14712844084000,-0.136579803249504,16167903870184.3,1.12019e+11,44.2629381209096,7488.08192070473,25.2640713700468,13663.4279681827
"2009",5159550,306771529,14448933025000,-2.53675706714202,15855282433952.1,1.1554e+11,44.36956533864,7056.78365282718,22.1249837026312,12913.7146883015
"2010",5392870,309327143,14992052727000,2.5637665603995,16229499732077.7,1.69911e+11,44.5031298142498,7161.42655156518,22.2092008982127,13394.9027551068
"2011",5172100,311583481,15542581104000,1.55083550470843,16452475360744.4,2.02431e+11,44.6881803724376,7029.95460147645,18.554976759716,13245.8819278677
"2012",4950210,313877662,16197007349000,2.24954585238848,16830059663014.4,1.97928e+11,44.876905576033,6872.02728367462,15.6917290892051,12964.1879389302
"2013",5089500,316059947,16784849196000,1.84208107064158,17169050073245.7,1.95517e+11,45.088686925585,6905.59863316056,13.9434315101907,13004.0235689845
"2014",5102580,318386329,17527163695000,2.52597344637341,17619304248827.6,2.00311e+11,45.2892733971627,6960.68399657951,9.21446550107214,12993.9655794706
"2015",4982790,320738994,18238300569000,3.0755146497898,18238300569000,1.85377e+11,45.4949718399379,6803.99660728499,7.30874345482277,NA
"2016",4888640,323071755,18745075687000,1.71142677366849,18583819498571.5,1.97021e+11,45.7132555583511,NA,NA,NA
"2017",4813720,325122128,19542979183000,2.33267939548638,19026942525533.5,2.59542e+11,45.9806119379238,NA,NA,NA
"2018",4981300,326838199,20611860934000,2.99646435222829,19610164361721.8,2.59133e+11,46.3045260508243,NA,NA,NA
"2019",NA,328329953,21433224697000,2.16117651518969,20060332095393.8,2.31919e+11,46.4737333909952,NA,NA,NA
"2020",NA,329484123,2.095303e+13,-3.40459157333871,19362345169585.9,1.88463e+11,46.6971147498965,NA,NA,NA
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
